,bootstrap,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,score,best_parameters
114,True,0.0,,gini,,0.1,,,0.0,17,6,0.0,2,-1,False,42,0,False,0.8294285714285714,
115,True,0.0,,entropy,,0.1,,,0.0,17,6,0.0,2,-1,False,42,0,False,0.832,
116,False,0.0,,gini,,0.1,,,0.0,20,6,0.0,2,-1,False,42,0,False,0.836,
117,False,0.0,,entropy,,0.1,,,0.0,20,6,0.0,2,-1,False,42,0,False,0.8424285714285714,
118,True,0.0,,gini,,0.1,,,0.0,20,6,0.0,2,-1,False,42,0,False,0.8255714285714286,
119,True,0.0,,entropy,,0.1,,,0.0,20,6,0.0,2,-1,False,42,0,False,0.8261428571428572,
120,False,0.0,,gini,,0.1,,,0.0,1,8,0.0,2,-1,False,42,0,False,0.8131428571428572,
121,False,0.0,,entropy,,0.1,,,0.0,1,8,0.0,2,-1,False,42,0,False,0.8171428571428572,
122,True,0.0,,gini,,0.1,,,0.0,1,8,0.0,2,-1,False,42,0,False,0.8087142857142857,
123,True,0.0,,entropy,,0.1,,,0.0,1,8,0.0,2,-1,False,42,0,False,0.8158571428571428,
124,False,0.0,,gini,,0.1,,,0.0,3,8,0.0,2,-1,False,42,0,False,0.8277142857142857,
125,False,0.0,,entropy,,0.1,,,0.0,3,8,0.0,2,-1,False,42,0,False,0.8292857142857143,
126,True,0.0,,gini,,0.1,,,0.0,3,8,0.0,2,-1,False,42,0,False,0.8125714285714286,
127,True,0.0,,entropy,,0.1,,,0.0,3,8,0.0,2,-1,False,42,0,False,0.8191428571428572,
128,False,0.0,,gini,,0.1,,,0.0,5,8,0.0,2,-1,False,42,0,False,0.8297142857142857,
129,False,0.0,,entropy,,0.1,,,0.0,5,8,0.0,2,-1,False,42,0,False,0.8274285714285714,
130,True,0.0,,gini,,0.1,,,0.0,5,8,0.0,2,-1,False,42,0,False,0.8172857142857143,
131,True,0.0,,entropy,,0.1,,,0.0,5,8,0.0,2,-1,False,42,0,False,0.825,
132,False,0.0,,gini,,0.1,,,0.0,7,8,0.0,2,-1,False,42,0,False,0.838,
133,False,0.0,,entropy,,0.1,,,0.0,7,8,0.0,2,-1,False,42,0,False,0.8382857142857143,
134,True,0.0,,gini,,0.1,,,0.0,7,8,0.0,2,-1,False,42,0,False,0.8228571428571428,
135,True,0.0,,entropy,,0.1,,,0.0,7,8,0.0,2,-1,False,42,0,False,0.8188571428571428,
136,False,0.0,,gini,,0.1,,,0.0,9,8,0.0,2,-1,False,42,0,False,0.8338571428571429,
137,False,0.0,,entropy,,0.1,,,0.0,9,8,0.0,2,-1,False,42,0,False,0.8351428571428572,
138,True,0.0,,gini,,0.1,,,0.0,9,8,0.0,2,-1,False,42,0,False,0.8262857142857143,
139,True,0.0,,entropy,,0.1,,,0.0,9,8,0.0,2,-1,False,42,0,False,0.8262857142857143,
140,False,0.0,,gini,,0.1,,,0.0,11,8,0.0,2,-1,False,42,0,False,0.8391428571428572,
141,False,0.0,,entropy,,0.1,,,0.0,11,8,0.0,2,-1,False,42,0,False,0.8335714285714285,
142,True,0.0,,gini,,0.1,,,0.0,11,8,0.0,2,-1,False,42,0,False,0.8254285714285714,
143,True,0.0,,entropy,,0.1,,,0.0,11,8,0.0,2,-1,False,42,0,False,0.8274285714285714,
144,False,0.0,,gini,,0.1,,,0.0,13,8,0.0,2,-1,False,42,0,False,0.8372857142857143,
145,False,0.0,,entropy,,0.1,,,0.0,13,8,0.0,2,-1,False,42,0,False,0.8442857142857143,
146,True,0.0,,gini,,0.1,,,0.0,13,8,0.0,2,-1,False,42,0,False,0.8314285714285714,
147,True,0.0,,entropy,,0.1,,,0.0,13,8,0.0,2,-1,False,42,0,False,0.8344285714285714,
148,False,0.0,,gini,,0.1,,,0.0,15,8,0.0,2,-1,False,42,0,False,0.8374285714285714,
149,False,0.0,,entropy,,0.1,,,0.0,15,8,0.0,2,-1,False,42,0,False,0.8441428571428572,
150,True,0.0,,gini,,0.1,,,0.0,15,8,0.0,2,-1,False,42,0,False,0.8231428571428572,
151,True,0.0,,entropy,,0.1,,,0.0,15,8,0.0,2,-1,False,42,0,False,0.8258571428571428,
152,False,0.0,,gini,,0.1,,,0.0,17,8,0.0,2,-1,False,42,0,False,0.8451428571428572,
